,visits_pred,visits_truth,visits_error,zone,date,new_visits_pred,new_visits_truth,new_visits_error,recurrents_pred,recurrents_truth,recurrents_error,visitors_unique_pred,visitors_unique_truth,visitors_unique_error
107,2267.852386964045,2304.935185185185,1.6088434268992697,plaza_justicia,2023-09-12,423.5380886515773,407.47222222222223,3.9428126760977773,1601.6620295507919,1597.9907407407406,0.2297440602408891,2010.2582387720545,2005.462962962963,0.2391106641035482
100,2662.921077664959,2812.0,5.301526398827923,plaza_san_felipe,2023-09-11,536.0783300945207,320.0,67.5244781545377,3109.074105056131,1952.0,59.27633734918704,3302.8747783494,2272.0,45.373009610448946
101,2665.2590717892435,2812.0,5.218382937793615,plaza_san_felipe,2023-09-11,524.2876673626238,320.0,63.83989605081993,2543.2718631533303,1952.0,30.290566759904213,3509.7982510422116,2272.0,54.480556824041
102,3080.401474248897,2721.0,13.208433452734184,plaza_san_felipe,2023-09-12,481.79266369169517,324.0,48.70143941101703,2593.2787481653536,1836.0,41.246119181119475,3113.241911195576,2160.0,44.13156996275815
103,3145.5516685742796,2721.0,15.602780910484364,plaza_san_felipe,2023-09-12,423.5193292546138,324.0,30.715842362535128,2597.1242318044624,1836.0,41.45556818107094,2828.2519222543806,2160.0,30.93758899325836
104,3694.2220981721257,2721.0,35.767074537748094,plaza_san_felipe,2023-09-12,353.77172306280005,324.0,9.188803414444461,2109.400381188763,1836.0,14.891088300041547,2505.555739078177,2160.0,15.99795088324893
105,3164.575946469946,2721.0,16.301945846010504,plaza_san_felipe,2023-09-12,276.47351489456196,324.0,14.668668242419148,1866.6744379122874,1836.0,1.6707210191877684,2027.4001763229726,2160.0,6.138880725788306
106,3094.4906310626493,2721.0,13.726226793923162,plaza_san_felipe,2023-09-12,218.11493841858817,324.0,32.680574562164146,1611.3403767544887,1836.0,12.236362921868807,1868.3549140314553,2160.0,13.50208731335855
107,3251.4416430789947,2721.0,19.49436394998143,plaza_san_felipe,2023-09-12,100.17554940056957,324.0,69.08162055537976,1523.8662973265582,1836.0,17.00074633297613,1268.2464442829605,2160.0,41.28488683875183
100,2698.5761213013807,2180.0,23.7878954725404,plaza_san_pedro_nolasco,2023-09-11,446.04889547896363,282.0,58.17336719112185,1832.752347725112,1452.0,26.22261347969091,2342.1125503878657,1734.0,35.069927934709675
101,2637.3756977657163,2180.0,20.980536594757627,plaza_san_pedro_nolasco,2023-09-11,360.5284860149429,282.0,27.84698085636274,1409.8870974396068,1452.0,2.900337641900358,2200.4635703424447,1734.0,26.901013283878005
102,2322.0814259811696,2252.0,3.111963853515522,plaza_san_pedro_nolasco,2023-09-12,340.9412582269298,238.0,43.252629507113355,1190.0408724453728,1538.0,22.624130530209833,1902.1075556382693,1776.0,7.100650655307958
103,2274.1483526580987,2252.0,0.983497009684667,plaza_san_pedro_nolasco,2023-09-12,295.9732652234352,238.0,24.358514799762684,1073.5446181995535,1538.0,30.19865941485348,1715.0452789143542,1776.0,3.4321351962638404
104,2293.790899749477,2252.0,1.8557237899412486,plaza_san_pedro_nolasco,2023-09-12,283.9607147391837,238.0,19.311224680329282,1302.016000131402,1538.0,15.34356306037698,1752.8340079366612,1776.0,1.3043914450078133
105,2102.125329864491,2252.0,6.655180734258834,plaza_san_pedro_nolasco,2023-09-12,311.42862126795745,238.0,30.85236187729305,1365.9078739609954,1538.0,11.189344996034109,1754.571225815544,1776.0,1.2065751229986463
106,1888.075198050025,2252.0,16.160071134545962,plaza_san_pedro_nolasco,2023-09-12,242.02835892808662,238.0,1.6925877849103437,1493.6599812835755,1538.0,2.8829661063995147,1564.2595449523596,1776.0,11.922322919349119
107,1822.7374599297093,2252.0,19.061391654986267,plaza_san_pedro_nolasco,2023-09-12,213.54359136520435,238.0,10.27580194739313,1379.8747649230495,1538.0,10.281224647396002,1500.1388321421803,1776.0,15.53272341541778
